AFFYMETRIX_3PRIME_IVT_ID	Name	Species
1558450_at	alpha-2-macroglobulin(A2M)	Homo sapiens
1569240_at	zinc finger protein 93(ZNF93)	Homo sapiens
1569241_a_at	zinc finger protein 93(ZNF93)	Homo sapiens
206797_at	N-acetyltransferase 2(NAT2)	Homo sapiens
202376_at	serpin family A member 3(SERPINA3)	Homo sapiens
205969_at	arylacetamide deacetylase(AADAC)	Homo sapiens
201511_at	angio associated migratory cell protein(AAMP)	Homo sapiens
201000_at	alanyl-tRNA synthetase 1(AARS1)	Homo sapiens
1553338_at	SDE2 telomere maintenance homolog(SDE2)	Homo sapiens
206527_at	4-aminobutyrate aminotransferase(ABAT)	Homo sapiens
1570279_at	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens
203505_at	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens
203504_s_at	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens
204343_at	ATP binding cassette subfamily A member 3(ABCA3)	Homo sapiens
200045_at	ATP binding cassette subfamily F member 1(ABCF1)	Homo sapiens
1569102_at	ATP binding cassette subfamily A member 4(ABCA4)	Homo sapiens
202123_s_at	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens
1552742_at	potassium voltage-gated channel subfamily H member 8(KCNH8)	Homo sapiens
203559_s_at	amine oxidase copper containing 1(AOC1)	Homo sapiens
206411_s_at	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens
202025_x_at	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens
1552616_a_at	acetyl-CoA carboxylase beta(ACACB)	Homo sapiens
1552615_at	acetyl-CoA carboxylase beta(ACACB)	Homo sapiens
206068_s_at	acyl-CoA dehydrogenase long chain(ACADL)	Homo sapiens
206069_s_at	acyl-CoA dehydrogenase long chain(ACADL)	Homo sapiens
202502_at	acyl-CoA dehydrogenase medium chain(ACADM)	Homo sapiens
202366_at	acyl-CoA dehydrogenase short chain(ACADS)	Homo sapiens
205355_at	acyl-CoA dehydrogenase short/branched chain(ACADSB)	Homo sapiens
200710_at	acyl-CoA dehydrogenase very long chain(ACADVL)	Homo sapiens
1559239_s_at	acetyl-CoA acetyltransferase 1(ACAT1)	Homo sapiens
205412_at	acetyl-CoA acetyltransferase 1(ACAT1)	Homo sapiens
1554947_at	acetyl-CoA acetyltransferase 1(ACAT1)	Homo sapiens
1554660_a_at	consortin, connexin sorting protein(CNST)	Homo sapiens
1554661_s_at	consortin, connexin sorting protein(CNST)	Homo sapiens
206690_at	acid sensing ion channel subunit 2(ASIC2)	Homo sapiens
205156_s_at	acid sensing ion channel subunit 1(ASIC1)	Homo sapiens
205378_s_at	acetylcholinesterase (Cartwright blood group)(ACHE)	Homo sapiens
205377_s_at	acetylcholinesterase (Cartwright blood group)(ACHE)	Homo sapiens
201128_s_at	ATP citrate lyase(ACLY)	Homo sapiens
201127_s_at	ATP citrate lyase(ACLY)	Homo sapiens
200793_s_at	aconitase 2(ACO2)	Homo sapiens
201630_s_at	acid phosphatase 1(ACP1)	Homo sapiens
201629_s_at	acid phosphatase 1(ACP1)	Homo sapiens
1554808_at	acid phosphatase 1(ACP1)	Homo sapiens
202767_at	acid phosphatase 2, lysosomal(ACP2)	Homo sapiens
204638_at	acid phosphatase 5, tartrate resistant(ACP5)	Homo sapiens
204393_s_at	acid phosphatase 3(ACP3)	Homo sapiens
206776_x_at	acrosomal vesicle protein 1(ACRV1)	Homo sapiens
203872_at	actin alpha 1, skeletal muscle(ACTA1)	Homo sapiens
200974_at	actin alpha 2, smooth muscle(ACTA2)	Homo sapiens
200801_x_at	actin beta(ACTB)	Homo sapiens
1553572_a_at	cytoglobin(CYGB)	Homo sapiens
1570410_at	cytoglobin(CYGB)	Homo sapiens
205132_at	actin alpha cardiac muscle 1(ACTC1)	Homo sapiens
201550_x_at	actin gamma 1(ACTG1)	Homo sapiens
202274_at	actin gamma 2, smooth muscle(ACTG2)	Homo sapiens
1554744_at	caspase recruitment domain family member 16(CARD16)	Homo sapiens
1552701_a_at	caspase recruitment domain family member 16(CARD16)	Homo sapiens
1552703_s_at	caspase recruitment domain family member 16(CARD16)	Homo sapiens
200601_at	actinin alpha 4(ACTN4)	Homo sapiens
1553059_at	peptidoglycan recognition protein 3(PGLYRP3)	Homo sapiens
202666_s_at	actin like 6A(ACTL6A)	Homo sapiens
203861_s_at	actinin alpha 2(ACTN2)	Homo sapiens
203863_at	actinin alpha 2(ACTN2)	Homo sapiens
203864_s_at	actinin alpha 2(ACTN2)	Homo sapiens
203862_s_at	actinin alpha 2(ACTN2)	Homo sapiens
206891_at	actinin alpha 3(ACTN3)	Homo sapiens
203935_at	activin A receptor type 1(ACVR1)	Homo sapiens
205209_at	activin A receptor type 1B(ACVR1B)	Homo sapiens
1553375_at	BTB domain containing 9(BTBD9)	Homo sapiens
205327_s_at	activin A receptor type 2A(ACVR2A)	Homo sapiens
1561849_at	polycystin 1 like 2 (gene/pseudogene)(PKD1L2)	Homo sapiens
1554371_at	polycystin 1 like 2 (gene/pseudogene)(PKD1L2)	Homo sapiens
1559261_a_at	polycystin 1 like 2 (gene/pseudogene)(PKD1L2)	Homo sapiens
