Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	98	27.762039660056658	3.8734693649242923E-20	1552797_S_AT, 236646_AT, 210343_S_AT, 226147_S_AT, 220197_AT, 1552256_A_AT, 202619_S_AT, 206484_S_AT, 228143_AT, 213975_S_AT, 202036_S_AT, 203914_X_AT, 219140_S_AT, 231021_AT, 204393_S_AT, 241436_AT, 201839_S_AT, 227253_AT, 211298_S_AT, 205473_AT, 223062_S_AT, 202404_S_AT, 202499_S_AT, 214261_S_AT, 218918_AT, 202286_S_AT, 206024_AT, 209443_AT, 206672_AT, 1553151_AT, 231634_AT, 205244_S_AT, 1555745_A_AT, 220281_AT, 217014_S_AT, 219554_AT, 205625_S_AT, 202992_AT, 218186_AT, 1554195_A_AT, 202037_S_AT, 216910_AT, 213317_AT, 207544_S_AT, 239805_AT, 201037_AT, 206054_AT, 231424_AT, 205892_S_AT, 211548_S_AT, 227194_AT, 210397_AT, 203913_S_AT, 202202_S_AT, 212588_AT, 214347_S_AT, 210165_AT, 211919_S_AT, 230931_AT, 205983_AT, 205083_AT, 219866_AT, 208354_S_AT, 227480_AT, 238177_AT, 1553153_AT, 202803_S_AT, 221298_S_AT, 203434_S_AT, 1554668_A_AT, 213362_AT, 201563_AT, 230130_AT, 208383_S_AT, 229916_AT, 214389_AT, 203453_AT, 231352_AT, 206226_AT, 243562_AT, 216599_X_AT, 1565228_S_AT, 205216_S_AT, 212587_S_AT, 220424_AT, 209201_X_AT, 205592_AT, 204704_S_AT, 223939_AT, 206716_AT, 204705_X_AT, 209696_AT, 217238_S_AT, 217767_AT, 215274_AT, 211689_S_AT, 1561951_AT, 205082_S_AT, 232737_S_AT, 228850_S_AT, 231208_AT, 217983_S_AT, 237799_AT, 201506_AT, 202112_AT, 214043_AT, 217028_AT, 205311_AT, 211357_S_AT, 203824_AT, 1555938_X_AT, 207076_S_AT, 204591_AT, 205769_AT, 236630_AT, 201819_AT, 205768_S_AT, 238668_AT, 205626_S_AT, 223582_AT, 1553155_X_AT, 213706_AT, 236225_AT, 217973_AT, 206254_AT, 232722_AT, 201313_AT, 232422_AT, 209977_AT, 1558034_S_AT, 204846_AT, 205243_AT, 209309_AT, 205073_AT, 217984_AT, 222938_X_AT, 205544_S_AT, 217512_AT, 202345_S_AT, 204006_S_AT, 206840_AT	334	2217	20163	2.668511421001029	1.231763258045925E-17	1.231763258045925E-17	1.1581673401123634E-17
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	143	40.50991501416431	6.656325079884892E-19	221305_S_AT, 238862_AT, 1552797_S_AT, 211571_S_AT, 210343_S_AT, 204719_AT, 1552256_A_AT, 202619_S_AT, 228143_AT, 202036_S_AT, 1554748_AT, 219803_AT, 231021_AT, 204393_S_AT, 235746_S_AT, 241436_AT, 201839_S_AT, 227253_AT, 242601_AT, 229302_AT, 205985_X_AT, 208177_AT, 218918_AT, 202286_S_AT, 206672_AT, 231634_AT, 217014_S_AT, 202992_AT, 238919_AT, 206025_S_AT, 206872_AT, 216910_AT, 1552767_A_AT, 206054_AT, 209652_S_AT, 205682_X_AT, 219255_X_AT, 206134_AT, 230422_AT, 206952_AT, 217530_AT, 212588_AT, 210165_AT, 212998_X_AT, 205983_AT, 214511_X_AT, 208354_S_AT, 236034_AT, 223869_AT, 202803_S_AT, 228740_AT, 213362_AT, 230130_AT, 214053_AT, 213992_AT, 231398_AT, 220502_S_AT, 201893_X_AT, 205199_AT, 204298_S_AT, 206226_AT, 243562_AT, 216599_X_AT, 209335_AT, 206836_AT, 212587_S_AT, 209201_X_AT, 211527_X_AT, 204619_S_AT, 223939_AT, 214770_AT, 206716_AT, 213456_AT, 229831_AT, 210403_S_AT, 215274_AT, 211689_S_AT, 225681_AT, 1561951_AT, 232737_S_AT, 215446_S_AT, 215646_S_AT, 217983_S_AT, 237799_AT, 227629_AT, 202112_AT, 214043_AT, 211796_S_AT, 229580_AT, 230030_AT, 222774_S_AT, 224156_X_AT, 206214_AT, 230261_AT, 204591_AT, 213479_AT, 236225_AT, 206254_AT, 232722_AT, 229254_AT, 205243_AT, 221009_S_AT, 217984_AT, 210402_AT, 222938_X_AT, 223502_S_AT, 204006_S_AT, 228375_AT, 224940_S_AT, 226147_S_AT, 206484_S_AT, 227238_AT, 242662_AT, 233183_AT, 230741_AT, 214910_S_AT, 202404_S_AT, 202499_S_AT, 209443_AT, 219386_S_AT, 205244_S_AT, 220281_AT, 219554_AT, 206286_S_AT, 226492_AT, 202037_S_AT, 1555756_A_AT, 202998_S_AT, 213285_AT, 205258_AT, 231424_AT, 202901_X_AT, 207414_S_AT, 224361_S_AT, 227194_AT, 242517_AT, 202202_S_AT, 211148_S_AT, 209220_AT, 218888_S_AT, 211919_S_AT, 236489_AT, 230931_AT, 206488_S_AT, 229937_X_AT, 227480_AT, 238177_AT, 205952_AT, 221298_S_AT, 203434_S_AT, 205694_AT, 220503_AT, 229916_AT, 214389_AT, 228128_X_AT, 205984_AT, 231352_AT, 205216_S_AT, 220424_AT, 220376_AT, 209978_S_AT, 205572_AT, 217767_AT, 223501_AT, 228850_S_AT, 231208_AT, 223610_AT, 231496_AT, 205488_AT, 223333_S_AT, 224942_AT, 242943_AT, 211896_S_AT, 224941_AT, 217028_AT, 202902_S_AT, 237261_AT, 221731_X_AT, 212671_S_AT, 203824_AT, 226281_AT, 206026_S_AT, 227450_AT, 204620_S_AT, 242372_S_AT, 205911_AT, 229560_AT, 236630_AT, 201819_AT, 239178_AT, 229797_AT, 209977_AT, 219732_AT, 1558034_S_AT, 204846_AT, 203131_AT, 227241_AT, 209309_AT, 206404_AT, 207174_AT, 1554749_S_AT, 230836_AT, 205544_S_AT, 217512_AT, 206840_AT	333	4372	20421	2.0058047526025566	1.0650120127815827E-15	1.0650120127815827E-15	1.0603525852256632E-15
UP_KW_PTM	KW-0325~Glycoprotein	154	43.626062322946176	3.408291176838862E-16	221305_S_AT, 238862_AT, 1552797_S_AT, 211571_S_AT, 210343_S_AT, 204719_AT, 1552256_A_AT, 202619_S_AT, 228143_AT, 202036_S_AT, 1554748_AT, 219803_AT, 231021_AT, 204393_S_AT, 235746_S_AT, 241436_AT, 201839_S_AT, 227253_AT, 211298_S_AT, 242601_AT, 229302_AT, 205985_X_AT, 208177_AT, 218918_AT, 202286_S_AT, 206672_AT, 231634_AT, 217014_S_AT, 202992_AT, 238919_AT, 206025_S_AT, 206872_AT, 216910_AT, 1552767_A_AT, 206054_AT, 209652_S_AT, 205682_X_AT, 219255_X_AT, 206134_AT, 230422_AT, 206952_AT, 217530_AT, 212588_AT, 210165_AT, 212998_X_AT, 205983_AT, 214511_X_AT, 208354_S_AT, 236034_AT, 223869_AT, 202803_S_AT, 228740_AT, 213362_AT, 230130_AT, 214053_AT, 213992_AT, 231398_AT, 220502_S_AT, 201893_X_AT, 205199_AT, 204298_S_AT, 203453_AT, 206226_AT, 243562_AT, 216599_X_AT, 209335_AT, 206836_AT, 212587_S_AT, 209201_X_AT, 211527_X_AT, 205592_AT, 204619_S_AT, 223939_AT, 214770_AT, 206716_AT, 213456_AT, 229831_AT, 210403_S_AT, 215274_AT, 211689_S_AT, 225681_AT, 1561951_AT, 232737_S_AT, 215446_S_AT, 215646_S_AT, 217983_S_AT, 237799_AT, 227629_AT, 202112_AT, 214043_AT, 211796_S_AT, 229580_AT, 230030_AT, 222774_S_AT, 224156_X_AT, 206214_AT, 230261_AT, 204591_AT, 208394_X_AT, 213479_AT, 236225_AT, 206254_AT, 232722_AT, 229254_AT, 205243_AT, 221009_S_AT, 217984_AT, 210402_AT, 222938_X_AT, 223502_S_AT, 204006_S_AT, 228375_AT, 224940_S_AT, 226147_S_AT, 206484_S_AT, 227238_AT, 242662_AT, 233183_AT, 230741_AT, 225353_S_AT, 214910_S_AT, 202404_S_AT, 202499_S_AT, 209443_AT, 219386_S_AT, 205244_S_AT, 220281_AT, 219554_AT, 206286_S_AT, 226492_AT, 202037_S_AT, 1555756_A_AT, 202998_S_AT, 213285_AT, 201037_AT, 205258_AT, 231424_AT, 202901_X_AT, 207414_S_AT, 224361_S_AT, 227194_AT, 242517_AT, 202202_S_AT, 211148_S_AT, 202953_AT, 209220_AT, 218888_S_AT, 210095_S_AT, 211919_S_AT, 236489_AT, 230931_AT, 206488_S_AT, 229937_X_AT, 227480_AT, 238177_AT, 205952_AT, 221298_S_AT, 203434_S_AT, 205694_AT, 220503_AT, 229916_AT, 214389_AT, 228128_X_AT, 205984_AT, 231352_AT, 218952_AT, 1565228_S_AT, 205216_S_AT, 220424_AT, 220376_AT, 209978_S_AT, 205572_AT, 217767_AT, 223501_AT, 1405_I_AT, 228850_S_AT, 231208_AT, 223610_AT, 231496_AT, 205488_AT, 223333_S_AT, 224942_AT, 212143_S_AT, 242943_AT, 211896_S_AT, 224941_AT, 217028_AT, 202902_S_AT, 237261_AT, 221731_X_AT, 212671_S_AT, 203824_AT, 1555938_X_AT, 226281_AT, 206026_S_AT, 227450_AT, 204620_S_AT, 242372_S_AT, 205911_AT, 229560_AT, 236630_AT, 201819_AT, 239178_AT, 229797_AT, 209977_AT, 219732_AT, 1558034_S_AT, 204846_AT, 203131_AT, 227241_AT, 209309_AT, 206404_AT, 207174_AT, 1554749_S_AT, 230836_AT, 205544_S_AT, 217512_AT, 206840_AT	266	4723	14074	1.7251969644628191	9.325873406851315E-15	9.8840444128327E-15	8.520727942097155E-15
GOTERM_CC_DIRECT	GO:0016324~apical plasma membrane	34	9.631728045325778	3.0296340082774527E-15	214389_AT, 203453_AT, 1552797_S_AT, 231352_AT, 203065_S_AT, 220197_AT, 231021_AT, 241436_AT, 201839_S_AT, 206716_AT, 205473_AT, 216604_S_AT, 215274_AT, 208177_AT, 1561951_AT, 232737_S_AT, 1553151_AT, 206672_AT, 231634_AT, 220281_AT, 219554_AT, 206286_S_AT, 202856_S_AT, 237799_AT, 238287_AT, 212097_AT, 206872_AT, 213317_AT, 202920_AT, 231424_AT, 210452_X_AT, 202855_S_AT, 204777_S_AT, 220135_S_AT, 217530_AT, 205911_AT, 236630_AT, 1553155_X_AT, 205983_AT, 219866_AT, 206488_S_AT, 208354_S_AT, 238177_AT, 1553153_AT, 231311_AT, 216092_S_AT, 221298_S_AT, 217319_X_AT, 202752_X_AT, 222938_X_AT, 216603_AT, 207407_X_AT	334	369	20163	5.5623874202813886	9.532374889431594E-13	4.81711807316115E-13	4.529302842374792E-13
UP_KW_DOMAIN	KW-0732~Signal	140	39.6600566572238	1.4061832042786126E-14	221305_S_AT, 228375_AT, 240183_AT, 1552797_S_AT, 211571_S_AT, 224940_S_AT, 236646_AT, 206666_AT, 226147_S_AT, 203915_AT, 202619_S_AT, 206484_S_AT, 228143_AT, 213975_S_AT, 202036_S_AT, 219140_S_AT, 206755_AT, 231058_AT, 219803_AT, 227238_AT, 204393_S_AT, 242662_AT, 235746_S_AT, 201839_S_AT, 227253_AT, 211298_S_AT, 242601_AT, 225353_S_AT, 204533_AT, 214910_S_AT, 211122_S_AT, 229302_AT, 202404_S_AT, 216604_S_AT, 214261_S_AT, 202286_S_AT, 209443_AT, 219386_S_AT, 1555745_A_AT, 217014_S_AT, 206286_S_AT, 202992_AT, 209460_AT, 226492_AT, 1554195_A_AT, 202037_S_AT, 202998_S_AT, 238919_AT, 206025_S_AT, 216910_AT, 207544_S_AT, 1552767_A_AT, 201037_AT, 206054_AT, 205476_AT, 205258_AT, 209652_S_AT, 231424_AT, 205682_X_AT, 202901_X_AT, 207414_S_AT, 224361_S_AT, 219255_X_AT, 239593_AT, 206134_AT, 227194_AT, 210452_X_AT, 210397_AT, 226237_AT, 202202_S_AT, 211148_S_AT, 202953_AT, 209220_AT, 218888_S_AT, 212588_AT, 210095_S_AT, 210165_AT, 206420_AT, 212998_X_AT, 236489_AT, 230931_AT, 205983_AT, 231070_AT, 214511_X_AT, 229937_X_AT, 227480_AT, 211756_AT, 236034_AT, 223869_AT, 202803_S_AT, 228740_AT, 1554899_S_AT, 205694_AT, 213362_AT, 230130_AT, 214053_AT, 213992_AT, 229916_AT, 214389_AT, 201818_AT, 201893_X_AT, 205199_AT, 228128_X_AT, 205984_AT, 204298_S_AT, 206226_AT, 243562_AT, 218952_AT, 1565228_S_AT, 205216_S_AT, 209335_AT, 233604_AT, 212587_S_AT, 220424_AT, 211527_X_AT, 220376_AT, 204619_S_AT, 215563_S_AT, 205502_AT, 206716_AT, 213456_AT, 229831_AT, 209978_S_AT, 205572_AT, 217767_AT, 225681_AT, 1561951_AT, 1405_I_AT, 228850_S_AT, 215446_S_AT, 215646_S_AT, 205675_AT, 217983_S_AT, 223610_AT, 231496_AT, 205488_AT, 223333_S_AT, 224942_AT, 201506_AT, 212143_S_AT, 227629_AT, 202112_AT, 214043_AT, 242943_AT, 211796_S_AT, 211896_S_AT, 224941_AT, 229580_AT, 230030_AT, 202902_S_AT, 237261_AT, 222774_S_AT, 221731_X_AT, 224156_X_AT, 212671_S_AT, 206214_AT, 230261_AT, 229975_AT, 226281_AT, 206026_S_AT, 227450_AT, 204620_S_AT, 209459_S_AT, 204591_AT, 205911_AT, 229560_AT, 208394_X_AT, 223582_AT, 213479_AT, 206254_AT, 206754_S_AT, 232722_AT, 209977_AT, 1558034_S_AT, 204846_AT, 203131_AT, 227241_AT, 202740_AT, 209309_AT, 221009_S_AT, 216092_S_AT, 217984_AT, 202752_X_AT, 207174_AT, 204416_X_AT, 216603_AT, 230836_AT, 205544_S_AT, 217512_AT, 204006_S_AT, 206840_AT	274	4323	14904	1.7615504237223745	3.1019631308026874E-13	3.093603049412948E-13	2.671748088129364E-13
GOTERM_CC_DIRECT	GO:0016323~basolateral plasma membrane	26	7.365439093484419	1.6135503719594816E-13	231398_AT, 212097_AT, 236220_AT, 205199_AT, 202920_AT, 1552797_S_AT, 231352_AT, 216599_X_AT, 203065_S_AT, 210343_S_AT, 204719_AT, 228581_AT, 211548_S_AT, 203914_X_AT, 202855_S_AT, 239006_AT, 203913_S_AT, 205592_AT, 233183_AT, 201839_S_AT, 205911_AT, 236630_AT, 206716_AT, 205473_AT, 216604_S_AT, 205243_AT, 206672_AT, 205675_AT, 216092_S_AT, 231208_AT, 205244_S_AT, 221298_S_AT, 202752_X_AT, 219554_AT, 202856_S_AT, 214598_AT, 216603_AT, 214053_AT	334	235	20163	6.679041916167664	5.129829894201521E-11	1.7103633942770506E-11	1.608171870719617E-11
GOTERM_CC_DIRECT	GO:0005615~extracellular space	76	21.529745042492916	7.104674881375783E-13	211571_S_AT, 224940_S_AT, 226147_S_AT, 203915_AT, 228143_AT, 213975_S_AT, 202036_S_AT, 219140_S_AT, 219803_AT, 242662_AT, 204393_S_AT, 227253_AT, 211298_S_AT, 225353_S_AT, 204533_AT, 211122_S_AT, 202404_S_AT, 202286_S_AT, 209443_AT, 229168_AT, 1555745_A_AT, 217014_S_AT, 206286_S_AT, 226492_AT, 202037_S_AT, 202998_S_AT, 206025_S_AT, 206054_AT, 205476_AT, 205258_AT, 209652_S_AT, 202901_X_AT, 207414_S_AT, 210397_AT, 227194_AT, 226237_AT, 211148_S_AT, 210095_S_AT, 204446_S_AT, 230931_AT, 205983_AT, 206488_S_AT, 227480_AT, 211756_AT, 236034_AT, 218507_AT, 223869_AT, 231311_AT, 1554668_A_AT, 205117_AT, 201563_AT, 230130_AT, 213992_AT, 201893_X_AT, 228128_X_AT, 204298_S_AT, 205984_AT, 243562_AT, 218952_AT, 1565228_S_AT, 205216_S_AT, 209335_AT, 211527_X_AT, 204619_S_AT, 215563_S_AT, 234314_AT, 1552721_A_AT, 206716_AT, 213456_AT, 209978_S_AT, 205572_AT, 217767_AT, 223501_AT, 225681_AT, 1405_I_AT, 228850_S_AT, 215446_S_AT, 215646_S_AT, 217983_S_AT, 223333_S_AT, 224942_AT, 201506_AT, 212143_S_AT, 202112_AT, 211896_S_AT, 224941_AT, 202902_S_AT, 237261_AT, 221731_X_AT, 206026_S_AT, 204620_S_AT, 239178_AT, 206254_AT, 232722_AT, 204971_AT, 201313_AT, 209977_AT, 1554452_A_AT, 1558034_S_AT, 204846_AT, 209309_AT, 206404_AT, 221009_S_AT, 217984_AT, 207174_AT, 223502_S_AT, 205544_S_AT, 217512_AT, 202345_S_AT, 204006_S_AT, 206840_AT	334	1906	20163	2.4071290786737123	2.2591728487952878E-10	5.6482165306937474E-11	5.310744473828398E-11
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	83	23.512747875354105	4.794790741483108E-12	211571_S_AT, 224940_S_AT, 206666_AT, 226147_S_AT, 203915_AT, 228143_AT, 213975_S_AT, 202036_S_AT, 219140_S_AT, 219803_AT, 227238_AT, 242662_AT, 204393_S_AT, 235746_S_AT, 227253_AT, 211298_S_AT, 225353_S_AT, 204533_AT, 214910_S_AT, 211122_S_AT, 202404_S_AT, 209443_AT, 1555745_A_AT, 217014_S_AT, 206286_S_AT, 202992_AT, 1554195_A_AT, 202037_S_AT, 202998_S_AT, 206025_S_AT, 206054_AT, 205476_AT, 205258_AT, 209652_S_AT, 205682_X_AT, 202901_X_AT, 207414_S_AT, 224361_S_AT, 219255_X_AT, 206134_AT, 210397_AT, 227194_AT, 226237_AT, 202202_S_AT, 211148_S_AT, 202953_AT, 210095_S_AT, 210165_AT, 236489_AT, 230931_AT, 229937_X_AT, 211756_AT, 236034_AT, 218507_AT, 223869_AT, 205117_AT, 230130_AT, 213992_AT, 201893_X_AT, 228128_X_AT, 204298_S_AT, 205984_AT, 206226_AT, 243562_AT, 218952_AT, 1565228_S_AT, 205216_S_AT, 209335_AT, 211527_X_AT, 204619_S_AT, 215563_S_AT, 1552721_A_AT, 206716_AT, 213456_AT, 205572_AT, 217767_AT, 223501_AT, 211689_S_AT, 225681_AT, 1405_I_AT, 232737_S_AT, 228850_S_AT, 215446_S_AT, 215646_S_AT, 217983_S_AT, 205488_AT, 223333_S_AT, 224942_AT, 201506_AT, 212143_S_AT, 227629_AT, 202112_AT, 211896_S_AT, 224941_AT, 202902_S_AT, 237261_AT, 221731_X_AT, 224156_X_AT, 206214_AT, 206026_S_AT, 204620_S_AT, 204591_AT, 208394_X_AT, 213479_AT, 239178_AT, 232722_AT, 209977_AT, 1554452_A_AT, 1558034_S_AT, 204846_AT, 227241_AT, 209309_AT, 206404_AT, 221009_S_AT, 217984_AT, 207174_AT, 222938_X_AT, 223502_S_AT, 204416_X_AT, 217512_AT, 202345_S_AT, 204006_S_AT, 206840_AT	314	2113	17488	2.18770667478545	1.822035855525428E-10	1.822020481763581E-10	1.6302288521042565E-10
GOTERM_CC_DIRECT	GO:0005576~extracellular region	79	22.379603399433428	6.021283328004352E-12	211571_S_AT, 224940_S_AT, 206666_AT, 203915_AT, 206484_S_AT, 228143_AT, 213975_S_AT, 202036_S_AT, 219140_S_AT, 219803_AT, 227238_AT, 242662_AT, 235746_S_AT, 227253_AT, 211298_S_AT, 225353_S_AT, 204533_AT, 214910_S_AT, 211122_S_AT, 202404_S_AT, 209443_AT, 1555745_A_AT, 217014_S_AT, 206286_S_AT, 202992_AT, 202037_S_AT, 206025_S_AT, 216910_AT, 206054_AT, 205476_AT, 205258_AT, 209652_S_AT, 205682_X_AT, 202901_X_AT, 207414_S_AT, 224361_S_AT, 219255_X_AT, 206134_AT, 210397_AT, 227194_AT, 226237_AT, 202202_S_AT, 211148_S_AT, 202953_AT, 210095_S_AT, 210165_AT, 204446_S_AT, 236489_AT, 230931_AT, 229937_X_AT, 211756_AT, 236034_AT, 223869_AT, 205117_AT, 230130_AT, 214053_AT, 213992_AT, 229916_AT, 201893_X_AT, 228128_X_AT, 204298_S_AT, 205984_AT, 206226_AT, 243562_AT, 1565228_S_AT, 205216_S_AT, 209335_AT, 211527_X_AT, 204619_S_AT, 215563_S_AT, 1552721_A_AT, 229831_AT, 209978_S_AT, 205572_AT, 217767_AT, 223501_AT, 211689_S_AT, 225681_AT, 1405_I_AT, 228850_S_AT, 215446_S_AT, 215646_S_AT, 217983_S_AT, 205488_AT, 223333_S_AT, 224942_AT, 201506_AT, 212143_S_AT, 227629_AT, 202112_AT, 211896_S_AT, 224941_AT, 202902_S_AT, 237261_AT, 221731_X_AT, 224156_X_AT, 206214_AT, 206026_S_AT, 204620_S_AT, 208394_X_AT, 213479_AT, 239178_AT, 206254_AT, 232722_AT, 209977_AT, 1558034_S_AT, 204846_AT, 227241_AT, 209309_AT, 206404_AT, 221009_S_AT, 217984_AT, 207174_AT, 223502_S_AT, 204416_X_AT, 217512_AT, 202345_S_AT, 206840_AT	334	2116	20163	2.2538245814608966	1.9147716745493426E-9	3.829536196610768E-10	3.6007274301466024E-10
UP_KW_PTM	KW-1015~Disulfide bond	121	34.27762039660057	6.217995049574585E-11	228375_AT, 211571_S_AT, 224940_S_AT, 206666_AT, 226147_S_AT, 1552256_A_AT, 203915_AT, 228143_AT, 213975_S_AT, 202036_S_AT, 219140_S_AT, 219803_AT, 204393_S_AT, 235746_S_AT, 233183_AT, 201839_S_AT, 227253_AT, 211298_S_AT, 230741_AT, 242601_AT, 225353_S_AT, 204533_AT, 231376_AT, 214910_S_AT, 211122_S_AT, 202404_S_AT, 216604_S_AT, 208177_AT, 218918_AT, 202286_S_AT, 219386_S_AT, 1555745_A_AT, 217014_S_AT, 206286_S_AT, 202992_AT, 209460_AT, 226492_AT, 202037_S_AT, 1555756_A_AT, 202998_S_AT, 206025_S_AT, 206054_AT, 205476_AT, 205258_AT, 209652_S_AT, 205682_X_AT, 202901_X_AT, 206134_AT, 230422_AT, 227194_AT, 210397_AT, 242517_AT, 202202_S_AT, 211148_S_AT, 220135_S_AT, 202953_AT, 217530_AT, 209220_AT, 218888_S_AT, 210095_S_AT, 210165_AT, 206420_AT, 211919_S_AT, 212998_X_AT, 230931_AT, 205983_AT, 214511_X_AT, 206488_S_AT, 229937_X_AT, 227480_AT, 236034_AT, 223869_AT, 202803_S_AT, 203434_S_AT, 1554899_S_AT, 205694_AT, 213362_AT, 230130_AT, 214053_AT, 213992_AT, 229916_AT, 201893_X_AT, 205199_AT, 228128_X_AT, 205984_AT, 204298_S_AT, 206226_AT, 243562_AT, 233155_AT, 1565228_S_AT, 205216_S_AT, 209335_AT, 206836_AT, 209201_X_AT, 211527_X_AT, 204619_S_AT, 215563_S_AT, 223939_AT, 214770_AT, 206716_AT, 213456_AT, 229831_AT, 209978_S_AT, 205572_AT, 217767_AT, 223501_AT, 211689_S_AT, 1405_I_AT, 232737_S_AT, 228850_S_AT, 215446_S_AT, 215646_S_AT, 205675_AT, 217983_S_AT, 223610_AT, 231496_AT, 205488_AT, 223333_S_AT, 224942_AT, 201506_AT, 212143_S_AT, 227629_AT, 202112_AT, 214043_AT, 242943_AT, 211796_S_AT, 211896_S_AT, 224941_AT, 217028_AT, 202902_S_AT, 237261_AT, 222774_S_AT, 221731_X_AT, 212671_S_AT, 230261_AT, 229975_AT, 226281_AT, 206026_S_AT, 204620_S_AT, 209459_S_AT, 204591_AT, 205911_AT, 229560_AT, 201819_AT, 208394_X_AT, 213479_AT, 206254_AT, 229797_AT, 232722_AT, 209977_AT, 1558034_S_AT, 204846_AT, 203131_AT, 209309_AT, 221009_S_AT, 216092_S_AT, 217984_AT, 202752_X_AT, 222938_X_AT, 223502_S_AT, 216603_AT, 230836_AT, 205544_S_AT, 217512_AT, 202345_S_AT, 204006_S_AT, 206840_AT	266	3779	14074	1.6941208538679327	1.7410379804516651E-9	9.016092821883148E-10	7.772493811968231E-10
