fold_change	p_value
1007_s_at	0.0222223105506956	1
1053_at	0.912647040035907	6.83414450662151e-16
117_at	1.06484844856745	1.02313300263982e-12
121_at	-0.823173855096172	3.04013546821679e-11
1255_g_at	-0.0893877940305199	0.161804936043679
1294_at	0.247038177844185	0.380149520859159
1316_at	-0.141541384912747	1
1320_at	-0.144350985138816	0.00481452169059922
1405_i_at	2.21425002602896	1.31644303917427e-11
1431_at	-0.329196589133076	1
1438_at	-0.0741702972388643	1
1487_at	-0.507185301466765	5.38584257384981e-09
1494_f_at	-0.165647353820725	0.0949881428090751
1552256_a_at	2.28932033632187	2.31434540308982e-16
1552257_a_at	0.0700703085360814	1
1552258_at	0.37711532833218	0.449820815262007
1552261_at	-0.194149244216339	1
1552263_at	1.00043457151866	9.2441170709971e-16
1552264_a_at	0.691934517391914	1.7674891403268e-14
1552266_at	0.119445788911482	1
1552269_at	-0.643614264971853	3.27881852868773e-05
1552271_at	-0.020575687046664	1
1552272_a_at	-0.0950581719832302	1
1552274_at	-0.594682002378681	5.29943515892371e-05
1552275_s_at	-0.649851350851516	1.10298655264889e-07
1552276_a_at	-0.183920125538632	0.0350258240831339
1552277_a_at	0.664368571760255	5.37060357470805e-10
1552278_a_at	-0.0565284583204173	1
1552279_a_at	0.00343660639557797	1
1552280_at	0.873481319539962	0.0187921278225939
1552281_at	-1.33724776547543	6.08551419970088e-08
1552283_s_at	-0.335051190920714	1
1552286_at	-0.0550419631092192	1
1552287_s_at	0.254655941604289	1
1552288_at	-0.0337430486588866	1
1552289_a_at	-0.134001328675517	1
1552291_at	0.0477823059267832	1
1552293_at	-0.0682391128951378	1
1552295_a_at	-0.0899323562156731	1
1552296_at	0.545191297966294	0.671466679230863
1552299_at	-0.301775889278748	0.0268272159715095
1552301_a_at	-0.0823755985216064	1
1552302_at	-0.804517774920853	3.83993087722736e-06
1552303_a_at	-0.569040303517874	0.00251361234473041
1552304_at	0.126777534222293	1
1552306_at	0.311772441957418	1
1552307_a_at	0.512588661375434	2.87845552536419e-05
1552309_a_at	-0.11961919298735	1
1552310_at	-0.314587327608529	0.000642146589912809
1552311_a_at	-0.1527300496511	1
1552312_a_at	0.801070596813013	1.30593843281167e-09
1552314_a_at	-0.0842333572652927	1
1552315_at	0.717749765812505	8.91030015717364e-08
1552316_a_at	1.01780025454575	3.7172022800201e-09
1552318_at	0.676328282418008	0.000720561274965399
1552319_a_at	-0.0170023685653753	1
1552320_a_at	-0.160648813725528	0.0338366546218532
1552321_a_at	-0.193941724595427	0.137581314038249
1552322_at	0.0510247406671702	1
1552323_s_at	0.375058501672339	0.00624732742425301
1552325_at	-0.00695735166021949	1
1552326_a_at	-0.168428977995469	1
1552327_at	0.136829755031973	1
1552329_at	0.420801556638131	0.00696336855842288
1552330_at	-0.144602744206745	1
1552332_at	-0.049119450701693	1
1552334_at	0.433082198960586	0.0016578934451785
1552335_at	0.138076952911542	1
1552337_s_at	-0.293612177476722	1
1552338_at	-0.0795315602397673	1
1552340_at	0.0316656501536072	1
1552343_s_at	0.322573095994327	1
1552344_s_at	0.107083350172762	1
1552347_at	0.472444610613652	9.96480342819083e-05
1552348_at	-0.372943586232527	1.81497465276326e-06
1552349_a_at	-0.121439697724375	1
1552354_at	-0.00632640939343654	1
1552355_s_at	-0.179273971522054	1
1552359_at	0.030969039077033	1
1552360_a_at	0.0457924766607052	1
1552362_a_at	-0.807343702154084	0.0265608410694675
1552364_s_at	-0.0868122579712054	1
1552365_at	-0.994731938431065	1
1552367_a_at	-1.07134934549759	0.67254436930635
1552368_at	-0.0781892128196886	1
1552370_at	-0.118243632623972	1
1552372_at	-0.00685029253970271	1
1552373_s_at	-0.041460258305225	1
1552375_at	0.277467507910748	0.0969275291316547
1552377_s_at	-0.0938200893177585	1
1552378_s_at	-0.402794499434822	0.00873130160787969
1552379_at	-0.0529336767454716	1
1552381_at	0.112689067487008	1
1552383_at	-0.10328539230101	1
1552384_a_at	0.00248395550563485	1
1552386_at	1.03685917171212	4.21341109625991e-06
1552388_at	-0.281355930076056	1.11181930523675e-07
1552389_at	0.0696610888964928	1
1552390_a_at	-0.0720320314997691	1
1552391_at	-0.0371684708373912	1
1552393_at	0.0118444766543337	1
1552394_a_at	0.0199510868350914	1
1552395_at	-0.0960666931229444	1
1552396_at	0.0100076501475703	1
1552398_a_at	1.01576846222908	1.45745856509296e-07
1552399_a_at	0.178784188064123	1
1552400_a_at	-0.189360014245133	1
1552401_a_at	-0.0102232579083488	1
1552402_at	-0.113279353311044	1
1552405_at	-0.0256774737008456	1
1552408_at	-0.0570986052798683	1
1552409_a_at	-0.00565932228642385	1
1552410_at	0.146030662098741	1
1552411_at	0.0601384444920603	1
1552412_a_at	-0.110964852864945	0.494681992797602
1552414_at	-0.0495582869621987	1
1552415_a_at	-0.0346619416758078	1
1552417_a_at	0.224722207457872	1
1552418_at	-0.140546192928382	1
1552419_s_at	-0.235755694794939	0.0034848229440216
1552421_a_at	-0.0321700201097324	1
1552422_at	0.2894691330448	1
1552423_at	-0.0438367954480565	1
1552424_at	-0.133549886093555	1
1552425_a_at	-0.190575533132411	0.00211170825652477
1552426_a_at	0.431928264581492	2.4961334762126e-05
1552427_at	0.289987300094208	0.00768518090354771
1552430_at	-0.107601689530604	1
1552432_at	-0.038685080498948	1
1552436_a_at	-0.159259734028538	0.619005500373061
1552438_a_at	-0.0375456904014286	1
1552439_s_at	0.239686916338718	1
1552440_at	-0.327103155824289	1.39795093252789e-08
1552445_a_at	0.0100655294919698	1
1552448_a_at	-0.17356233708139	0.0361052181498071
1552449_a_at	-0.146433226090983	1
1552450_a_at	-0.190741208944122	0.00694214918804444
1552452_at	-0.0920037781920828	1
1552453_a_at	-0.129068858058751	1
1552455_at	1.26519634966778	5.70359788065576e-08
1552456_a_at	-0.172130137182981	1
1552457_a_at	-0.0704342831104974	1
1552458_at	-0.189197633618229	0.000279324716457388
1552459_a_at	-0.0551313812257095	1
1552461_at	-0.0105952951063126	1
1552463_at	-0.0553666342025467	1
1552466_x_at	0.00985158365707139	1
1552467_at	-0.116480583353217	1
1552468_a_at	-0.0198568805452251	1
1552470_a_at	0.288665119467791	0.0361234045670448
1552472_a_at	0.39164941502865	1.1625650241785e-06
1552473_at	-0.169318369612382	1
1552474_a_at	-0.342743697894747	1
1552476_s_at	0.201419229382778	1
1552477_a_at	-1.05468386751771	5.86746762769086e-09
1552478_a_at	-0.240532138001819	0.00269368350574647
1552480_s_at	0.278848875467791	0.000593056084082451
1552481_s_at	0.0414101957099691	1
1552482_at	-0.0580359950258487	1
1552484_at	-0.168732404363183	1
1552485_at	-0.0947648652879076	1
1552486_s_at	0.265070533602337	1
1552487_a_at	0.00865825435614243	1
1552489_s_at	0.0275504953688674	1
1552490_at	-0.206816982506151	0.00489705062711194
1552491_at	-0.0958120947785108	1
1552493_s_at	0.0299215264763819	1
1552494_at	-0.0956353745504335	1
1552496_a_at	-0.705565160788622	3.48553956664958e-06
1552497_a_at	0.226774780669075	1
1552498_at	-0.234764941543028	7.98007266637524e-06
1552499_a_at	-0.13505514101429	1
1552501_a_at	-0.195662852831963	0.395252638576586
