PROBEID	GENENAME	fold_change	p_value
212143_s_at	insulin like growth factor binding protein 3	3.00946770627679	2.19608336449259e-22
210095_s_at	insulin like growth factor binding protein 3	2.8131059220744	2.35931109251092e-22
205934_at	phospholipase C like 1 (inactive)	-2.53816958442414	6.2579741650529e-21
202856_s_at	solute carrier family 16 member 3	3.16884906917554	3.64655103058638e-20
202856_s_at	microRNA 6787	3.16884906917554	3.64655103058638e-20
202934_at	hexokinase 2	3.05661926118323	4.8641443832782e-20
226452_at	pyruvate dehydrogenase kinase 1	2.40607676459881	6.44638842938551e-20
223333_s_at	angiopoietin like 4	3.37520367861847	6.45236557952445e-20
201037_at	phosphofructokinase, platelet	2.18834058613069	9.44007723807283e-20
222774_s_at	neuropilin and tolloid like 2	2.82677421473392	1.92839106371788e-19
222847_s_at	egl-9 family hypoxia inducible factor 3	2.95120462912096	2.14889143211413e-19
201818_at	lysophosphatidylcholine acyltransferase 1	2.18047006823469	2.20506344300688e-19
201313_at	enolase 2	3.15993977859019	2.2773021791656e-19
203324_s_at	caveolin 2	2.30154593412705	2.80299348771983e-19
205911_at	parathyroid hormone 1 receptor	-2.45656980741023	3.60354441847601e-19
1558290_a_at	Pvt1 oncogene	2.25985268276866	3.70290415771991e-19
1558290_a_at	microRNA 1204	2.25985268276866	3.70290415771991e-19
231007_at	NA	4.78304207527435	4.06941668853193e-19
202855_s_at	solute carrier family 16 member 3	2.55400089855886	4.51135049848912e-19
202855_s_at	microRNA 6787	2.55400089855886	4.51135049848912e-19
212992_at	AHNAK nucleoprotein 2	3.32504441052356	4.81884916784486e-19
204006_s_at	Fc fragment of IgG receptor IIIb	2.86654535429747	5.2843669196985e-19
204006_s_at	Fc fragment of IgG receptor IIIa	2.86654535429747	5.2843669196985e-19
204900_x_at	Sin3A associated protein 30	2.21057507000411	1.08950384133192e-18
202238_s_at	nicotinamide N-methyltransferase	3.76571758492838	1.24517128326085e-18
221009_s_at	angiopoietin like 4	3.11015221677371	1.2838415527747e-18
239619_at	NA	2.31325825924157	1.39603331270183e-18
210538_s_at	baculoviral IAP repeat containing 3	2.5446398654131	1.57219733688302e-18
210402_at	potassium inwardly rectifying channel subfamily J member 1	-4.57620757070081	1.61565097769176e-18
218888_s_at	neuropilin and tolloid like 2	2.95468088222692	1.6246676656502e-18
223610_at	semaphorin 5B	2.24875437184602	1.71714717571474e-18
202998_s_at	lysyl oxidase like 2	2.67733086289327	1.81868744252158e-18
1554452_a_at	hypoxia inducible lipid droplet associated	3.67040796386969	1.84017002341033e-18
203323_at	caveolin 2	2.06246962867744	1.85349185324838e-18
217983_s_at	ribonuclease T2	2.35212876046281	1.90880176081699e-18
219888_at	sperm associated antigen 4	2.6742443167203	2.30253496141996e-18
214451_at	transcription factor AP-2 beta	-3.21295816577554	2.42090553549679e-18
209343_at	EF-hand domain family member D1	-2.32213620925065	2.52466938003021e-18
219232_s_at	egl-9 family hypoxia inducible factor 3	3.19368625188422	3.32266132478365e-18
242943_at	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	2.76212627096257	3.61542530877426e-18
202037_s_at	secreted frizzled related protein 1	-4.02049938136518	4.03193790825703e-18
220281_at	solute carrier family 12 member 1	-5.81131857677261	4.26333131661413e-18
218484_at	NDUFA4 mitochondrial complex associated like 2	3.8865044020935	4.84514950696385e-18
219732_at	phospholipid phosphatase related 1	-3.63716116183915	4.93428403270444e-18
206054_at	kininogen 1	-5.74860653002388	5.09474715807727e-18
218507_at	hypoxia inducible lipid droplet associated	3.49358201050256	5.27629984352117e-18
217512_at	kininogen 1	-3.99398808299307	5.64043833382308e-18
218145_at	tribbles pseudokinase 3	2.19979201470922	5.93092818019183e-18
230081_at	phosphatidylinositol specific phospholipase C X domain containing 3	-2.31910599967501	6.44274615479112e-18
205625_s_at	calbindin 1	-5.82641401887807	6.52099411426515e-18
223704_s_at	doublesex and mab-3 related transcription factor 2	-3.49421531935014	7.63539240711803e-18
205199_at	carbonic anhydrase 9	2.91758429505154	8.88622191351123e-18
236225_at	gamma-glutamyltransferase 6	-2.76000158803147	9.22091810479531e-18
205626_s_at	calbindin 1	-5.80021006353324	9.33832316640831e-18
217984_at	ribonuclease T2	2.35633789679666	9.95700159775363e-18
213349_at	transmembrane and coiled-coil domain family 1	2.12025027280737	1.06363105320249e-17
220424_at	NPHS2 stomatin family member, podocin	-4.47721550353292	1.12207433116908e-17
